t,omega_obs,omega_fit,residual
0,1.75487,1.70465,0.0502227
0.0166667,1.73693,1.71607,0.0208592
0.0333333,1.71135,1.72722,-0.0158716
0.05,1.7412,1.73808,0.00311765
0.0666667,1.75687,1.74865,0.00822523
0.0833333,1.77781,1.75892,0.0188954
0.1,1.77497,1.76887,0.00609327
0.116667,1.78198,1.77851,0.00346972
0.133333,1.84088,1.78783,0.0530544
0.15,1.73205,1.79681,-0.064768
0.166667,1.7454,1.80546,-0.0600656
0.183333,1.87003,1.81376,0.0562634
0.2,1.83875,1.82172,0.0170365
0.216667,1.83569,1.82931,0.00638072
0.233333,1.82742,1.83655,-0.00912482
0.25,1.80459,1.84341,-0.038825
0.266667,1.83758,1.8499,-0.0123215
0.283333,1.90015,1.85602,0.0441311
0.3,1.84898,1.86175,-0.012765
0.316667,1.86414,1.86709,-0.00295293
0.333333,1.89414,1.87205,0.0220939
0.35,1.84426,1.87661,-0.0323447
0.366667,1.88737,1.88077,0.00660027
0.383333,1.89251,1.88453,0.0079829
0.4,1.8943,1.88788,0.00641937
0.416667,1.86751,1.89083,-0.02332
0.433333,1.9164,1.89337,0.0230275
0.45,1.94562,1.8955,0.0501237
0.466667,1.89581,1.89721,-0.00140441
0.483333,1.85834,1.89852,-0.0401795
0.5,1.84614,1.8994,-0.0532613
0.516667,1.93328,1.89988,0.033406
0.533333,1.8795,1.89993,-0.0204315
0.55,1.85533,1.89957,-0.0442482
0.566667,1.93814,1.8988,0.0393416
0.583333,1.88867,1.89761,-0.00893797
0.6,1.85733,1.89601,-0.0386792
0.616667,1.90738,1.89399,0.0133921
0.633333,1.91095,1.89156,0.0193929
0.65,1.90216,1.88872,0.013442
0.666667,1.91022,1.88548,0.0247463
0.683333,1.82778,1.88183,-0.0540446
0.7,1.83372,1.87778,-0.0440523
0.716667,1.91008,1.87332,0.0367504
0.733333,1.87683,1.86848,0.00835493
0.75,1.87083,1.86324,0.00759431
0.766667,1.83697,1.85761,-0.0206442
0.783333,1.82761,1.8516,-0.0239961
0.8,1.85276,1.84521,0.00754768
0.816667,1.82921,1.83845,-0.00923643
0.833333,1.8271,1.83131,-0.0042114
0.85,1.79155,1.82382,-0.0322699
0.866667,1.77244,1.81596,-0.0435219
0.883333,1.80121,1.80775,-0.00654506
0.9,1.78476,1.7992,-0.0144421
0.916667,1.83471,1.7903,0.0444059
0.933333,1.83303,1.78108,0.0519523
0.95,1.72932,1.77152,-0.0422036
0.966667,1.76493,1.76165,0.00328159
0.983333,1.77407,1.75147,0.0226016
1,1.74738,1.74098,0.00639481
1.01667,1.70794,1.7302,-0.0222567
1.03333,1.6977,1.71913,-0.0214357
1.05,1.73438,1.70778,0.0266013
1.06667,1.66666,1.69616,-0.0295041
1.08333,1.69995,1.68428,0.0156697
1.1,1.66301,1.67215,-0.00913717
1.11667,1.57608,1.65977,-0.083688
1.13333,1.63675,1.64716,-0.0104082
1.15,1.70129,1.63432,0.0669625
1.16667,1.61939,1.62127,-0.0018873
1.18333,1.54257,1.60802,-0.0654477
1.2,1.61444,1.59457,0.0198735
1.21667,1.61404,1.58093,0.0331135
1.23333,1.51966,1.56712,-0.0474642
1.25,1.51598,1.55314,-0.0371692
1.26667,1.56045,1.53902,0.0214337
1.28333,1.51663,1.52474,-0.00811127
1.3,1.51642,1.51034,0.00607962
1.31667,1.5195,1.49582,0.0236831
1.33333,1.47759,1.48118,-0.00359574
1.35,1.46088,1.46645,-0.00556962
1.36667,1.4527,1.45163,0.00107297
1.38333,1.44372,1.43673,0.00699793
1.4,1.44252,1.42176,0.0207606
1.41667,1.3686,1.40674,-0.0381414
1.43333,1.34333,1.39168,-0.048351
1.45,1.40111,1.37659,0.0245185
1.46667,1.39979,1.36148,0.0383171
1.48333,1.30644,1.34635,-0.0399189
1.5,1.28942,1.33124,-0.0418149
1.51667,1.32485,1.31613,0.00871941
1.53333,1.32956,1.30105,0.0285108
1.55,1.27004,1.28601,-0.0159684
1.56667,1.22977,1.27102,-0.041243
1.58333,1.31568,1.25608,0.0596019
1.6,1.272,1.24122,0.0307803
1.61667,1.22885,1.22644,0.00241327
1.63333,1.17531,1.21175,-0.0364467
1.65,1.14131,1.19717,-0.0558561
1.66667,1.2241,1.1827,0.0413966
1.68333,1.15806,1.16836,-0.0102973
1.7,1.14376,1.15416,-0.010403
1.71667,1.14684,1.1401,0.0067387
1.73333,1.08422,1.12621,-0.041986
1.75,1.09604,1.11248,-0.016443
1.76667,1.10451,1.09893,0.00558001
1.78333,1.1015,1.08558,0.0159225
1.8,1.06297,1.07242,-0.00944942
1.81667,1.07171,1.05947,0.0122367
1.83333,1.02072,1.04675,-0.0260294
1.85,1.03689,1.03425,0.00264522
1.86667,1.07607,1.02199,0.0540808
1.88333,0.972175,1.00998,-0.0378015
1.9,0.98081,0.998223,-0.0174123
1.91667,1.02498,0.986735,0.0382432
1.93333,1.02781,0.975521,0.0522893
1.95,0.93214,0.964591,-0.032451
1.96667,0.93251,0.953953,-0.0214426
1.98333,0.925243,0.943614,-0.0183701
2,0.94309,0.933582,0.00950822
2.01667,0.982853,0.923865,0.0589885
2.03333,0.887209,0.91447,-0.027261
2.05,0.898178,0.905405,-0.00722707
2.06667,0.918074,0.896676,0.0213974
2.08333,0.853901,0.88829,-0.0343891
2.1,0.833423,0.880253,-0.0468303
2.11667,0.902118,0.872572,0.0295464
2.13333,0.885502,0.865251,0.0202505
2.15,0.869591,0.858297,0.0112936
2.16667,0.828489,0.851715,-0.0232264
2.18333,0.790735,0.84551,-0.0547748
2.2,0.869065,0.839686,0.0293792
2.21667,0.877787,0.834248,0.043539
2.23333,0.830848,0.829201,0.00164718
2.25,0.843317,0.824547,0.0187701
2.26667,0.822335,0.82029,0.00204447
2.28333,0.777856,0.816435,-0.0385786
2.3,0.771764,0.812982,-0.0412184
2.31667,0.837843,0.809936,0.0279067
2.33333,0.831966,0.807298,0.0246676
2.35,0.758182,0.805071,-0.0468891
2.36667,0.762304,0.803256,-0.0409511
2.38333,0.837035,0.801854,0.0351812
2.4,0.838026,0.800867,0.0371597
2.41667,0.801231,0.800295,0.000936071
2.43333,0.801596,0.800138,0.00145777
2.45,0.770939,0.800398,-0.0294595
2.46667,0.771405,0.801073,-0.0296678
2.48333,0.772789,0.802164,-0.0293744
2.5,0.771736,0.803668,-0.0319323
2.51667,0.892037,0.805586,0.0864505
2.53333,0.892104,0.807916,0.0841875
2.55,0.748238,0.810656,-0.0624179
2.56667,0.748417,0.813803,-0.0653863
2.58333,0.837361,0.817356,0.0200045
2.6,0.879302,0.821312,0.0579904
2.61667,0.810383,0.825668,-0.0152846
2.63333,0.797814,0.83042,-0.032606
2.65,0.835149,0.835565,-0.000416319
2.66667,0.886912,0.841099,0.0458127
2.68333,0.843885,0.847018,-0.00313341
2.7,0.810513,0.853318,-0.0428043
2.71667,0.899557,0.859993,0.0395644
2.73333,0.894819,0.867038,0.0277809
2.75,0.823471,0.874449,-0.0509786
2.76667,0.884312,0.88222,0.00209235
2.78333,0.947449,0.890344,0.0571054
2.8,0.914403,0.898816,0.0155873
2.81667,0.850378,0.907629,-0.057251
2.83333,0.842452,0.916777,-0.0743248
2.85,0.914033,0.926252,-0.0122194
2.86667,1.00111,0.936048,0.0650623
2.88333,0.990161,0.946157,0.0440042
2.9,0.910847,0.956571,-0.0457247
2.91667,0.967903,0.967283,0.000619594
2.93333,1.03329,0.978285,0.0550098
2.95,1.00735,0.989567,0.0177817
2.96667,0.945863,1.00112,-0.0552597
2.98333,1.0189,1.01294,0.00595773
3,1.08403,1.02501,0.0590159
3.01667,1.02879,1.03733,-0.00854808
3.03333,0.993611,1.04989,-0.0562792
3.05,1.06142,1.06267,-0.00125061
3.06667,1.13027,1.07567,0.0546005
3.08333,1.12588,1.08888,0.0369952
3.1,1.04165,1.10229,-0.0606421
3.11667,1.11867,1.11588,0.00279466
3.13333,1.20818,1.12965,0.0785262
3.15,1.0998,1.14359,-0.0437879
3.16667,1.14499,1.15768,-0.0126896
3.18333,1.18297,1.17192,0.011053
3.2,1.17803,1.18629,-0.00826015
3.21667,1.21195,1.20079,0.0111684
3.23333,1.23662,1.2154,0.0212262
3.25,1.24401,1.23011,0.013901
3.26667,1.23378,1.24491,-0.0111292
3.28333,1.21569,1.25979,-0.0441009
3.3,1.29779,1.27474,0.0230517
3.31667,1.31553,1.28975,0.0257876
3.33333,1.30429,1.3048,-0.000507011
3.35,1.29425,1.31989,-0.0256382
3.36667,1.28551,1.335,-0.0494808
3.38333,1.37616,1.35012,0.0260483
3.4,1.38457,1.36524,0.0193319
3.41667,1.39205,1.38035,0.0117054
3.43333,1.39506,1.39543,-0.000369235
3.45,1.38326,1.41048,-0.0272218
3.46667,1.39922,1.42549,-0.0262711
3.48333,1.43204,1.44044,-0.00840298
3.5,1.51009,1.45532,0.0547706
3.51667,1.52165,1.47012,0.051525
3.53333,1.46076,1.48483,-0.0240748
3.55,1.45573,1.49944,-0.0437114
3.56667,1.54883,1.51394,0.0348925
3.58333,1.53988,1.52831,0.0115768
3.6,1.49464,1.54254,-0.0479054
3.61667,1.57186,1.55664,0.0152254
3.63333,1.6259,1.57057,0.0553294
3.65,1.62214,1.58434,0.037802
3.66667,1.59235,1.59793,-0.00558317
3.68333,1.57022,1.61133,-0.0411097
3.7,1.61106,1.62454,-0.0134803
3.71667,1.66426,1.63754,0.026718
3.73333,1.67114,1.65032,0.0208206
3.75,1.65945,1.66287,-0.00342703
3.76667,1.67814,1.67519,0.00294479
3.78333,1.70488,1.68726,0.0176188
3.8,1.69235,1.69908,-0.00673152
3.81667,1.74105,1.71063,0.0304223
3.83333,1.7009,1.72191,-0.0210112
3.85,1.71877,1.73291,-0.0141363
3.86667,1.78403,1.74362,0.0404057
3.88333,1.70663,1.75403,-0.0474034
3.9,1.78221,1.76414,0.0180703
3.91667,1.84257,1.77393,0.0686353
3.93333,1.7973,1.7834,0.0138997
3.95,1.76797,1.79255,-0.0245736
3.96667,1.77603,1.80136,-0.025323
3.98333,1.83873,1.80983,0.0289062
4,1.83312,1.81795,0.0151733
4.01667,1.80105,1.82572,-0.0246656
4.03333,1.86111,1.83312,0.0279901
4.05,1.85868,1.84017,0.0185169
4.06667,1.81159,1.84684,-0.0352501
4.08333,1.86793,1.85313,0.0147968
4.1,1.82659,1.85905,-0.0324586
4.11667,1.86764,1.86458,0.00306422
4.13333,1.90743,1.86972,0.0377105
4.15,1.89338,1.87447,0.0189148
4.16667,1.9355,1.87882,0.0566802
4.18333,1.8324,1.88277,-0.050372
4.2,1.83306,1.88632,-0.0532594
4.21667,1.92423,1.88947,0.0347664
4.23333,1.91292,1.8922,0.020722
4.25,1.91223,1.89453,0.0177048
4.26667,1.92906,1.89644,0.0326198
4.28333,1.91193,1.89794,0.0139888
4.3,1.87737,1.89903,-0.0216609
4.31667,1.89067,1.8997,-0.00903465
4.33333,1.9274,1.89996,0.0274403
4.35,1.85345,1.8998,-0.0463473
4.36667,1.87397,1.89922,-0.0252529
4.38333,1.94032,1.89823,0.0420908
4.4,1.94081,1.89683,0.0439885
4.41667,1.93633,1.89501,0.0413273
4.43333,1.82579,1.89278,-0.0669874
4.45,1.85044,1.89013,-0.0396948
4.46667,1.94038,1.88708,0.0532979
4.48333,1.88023,1.88363,-0.00339422
4.5,1.85998,1.87977,-0.0197915
4.51667,1.89616,1.87551,0.0206515
4.53333,1.87197,1.87085,0.00112375
4.55,1.87217,1.8658,0.00636563
4.56667,1.85574,1.86036,-0.0046156
